key	fr	es	it	ja	ko
Two letters, shown on your gamercard to friends. Optional.	Deux lettres, affichées sur votre carte de joueur pour vos amis. Facultatif.	Dos letras, visibles en tu tarjeta de jugador para tus amigos. Opcional.	Due lettere, mostrate sulla tua scheda giocatore agli amici. Facoltativo.	2文字。フレンドに見えるゲーマーカードに表示されます。任意です。	두 글자. 친구에게 보이는 게이머 카드에 표시됩니다. 선택 사항.
Save##country	Enregistrer##country	Guardar##country	Salva##country	保存##country	저장##country
Remove##country	Retirer##country	Quitar##country	Rimuovi##country	削除##country	제거##country
Password	Mot de passe	Contraseña	Password	パスワード	비밀번호
Changing it signs every other device out of this account. This one stays signed in.	Le changer déconnecte tous les autres appareils de ce compte. Celui-ci reste connecté.	Cambiarla cierra la sesión de esta cuenta en los demás dispositivos. Este sigue conectado.	Cambiarla disconnette tutti gli altri dispositivi da questo account. Questo resta connesso.	変更すると、他の端末はすべてサインアウトされます。この端末はサインインしたままです。	변경하면 다른 모든 기기에서 로그아웃됩니다. 이 기기는 로그인 상태로 유지됩니다.
Current password	Mot de passe actuel	Contraseña actual	Password attuale	現在のパスワード	현재 비밀번호
New password	Nouveau mot de passe	Nueva contraseña	Nuova password	新しいパスワード	새 비밀번호
New password again	Nouveau mot de passe (encore)	Repite la nueva contraseña	Ripeti la nuova password	新しいパスワード（確認）	새 비밀번호 확인
Change password	Changer le mot de passe	Cambiar contraseña	Cambia password	パスワードを変更	비밀번호 변경
Changing...	Changement...	Cambiando...	Modifica in corso...	変更中...	변경 중...
Add a title on the Home tab first.	Ajoutez d'abord un jeu dans l'onglet Accueil.	Añade primero un juego en la pestaña Inicio.	Aggiungi prima un gioco nella scheda Home.	まずホームタブでゲームを追加してください。	먼저 홈 탭에서 게임을 추가하세요.
Achievements	Succès	Logros	Obiettivi	実績	도전 과제
Refresh	Actualiser	Actualizar	Aggiorna	更新	새로고침
loading...	chargement...	cargando...	caricamento...	読み込み中...	불러오는 중...
This server has not imported the title. tools/spa_import.py in XenonLive does that.	Ce serveur n'a pas importé ce jeu. tools/spa_import.py dans XenonLive s'en charge.	Este servidor no ha importado el juego. tools/spa_import.py en XenonLive lo hace.	Questo server non ha importato il gioco. tools/spa_import.py in XenonLive lo fa.	このサーバーにはこのタイトルが登録されていません。XenonLive の tools/spa_import.py で登録します。	이 서버에 이 타이틀이 등록되어 있지 않습니다. XenonLive의 tools/spa_import.py로 등록합니다.
%u / %u G, %u of %zu unlocked	%u / %u G, %u sur %zu débloqués	%u / %u G, %u de %zu desbloqueados	%u / %u G, %u su %zu sbloccati	%u / %u G、%u / %zu 解除済み	%u / %u G, %u개 달성 / 전체 %zu개
Secret achievement	Succès secret	Logro secreto	Obiettivo segreto	秘密の実績	비밀 도전 과제
unlocked %s	débloqué le %s	desbloqueado el %s	sbloccato il %s	%s に解除	%s 달성
Continue playing to unlock this secret achievement.	Continuez à jouer pour débloquer ce succès secret.	Sigue jugando para desbloquear este logro secreto.	Continua a giocare per sbloccare questo obiettivo segreto.	プレイを続けると、この秘密の実績が解除されます。	계속 플레이하면 이 비밀 도전 과제가 해제됩니다.
playing 	joue à 	jugando a 	sta giocando a 	プレイ中: 	플레이 중:
a game	un jeu	un juego	un gioco	ゲーム	게임
 (joinable)	 (rejoignable)	 (se puede unir)	 (si può entrare)	（参加可能）	 (참가 가능)
View profile	Voir le profil	Ver perfil	Vedi profilo	プロフィールを見る	프로필 보기
Profile	Profil	Perfil	Profilo	プロフィール	프로필
Invite	Inviter	Invitar	Invita	招待	초대
Invite 	Inviter 	Invitar a 	Invita 	招待: 	초대:
Invitation sent to 	Invitation envoyée à 	Invitación enviada a 	Invito inviato a 	招待を送りました: 	초대를 보냈습니다:
Start a game session first: an invitation names the session you are in.	Démarrez d'abord une session de jeu : une invitation désigne la session où vous êtes.	Inicia primero una sesión de juego: la invitación indica la sesión en la que estás.	Avvia prima una sessione di gioco: l'invito indica la sessione in cui ti trovi.	先にゲームセッションを開始してください。招待には参加中のセッションが必要です。	먼저 게임 세션을 시작하세요. 초대에는 참가 중인 세션이 필요합니다.
Message	Message	Mensaje	Messaggio	メッセージ	메시지
Remove	Retirer	Quitar	Rimuovi	削除	삭제
Remove 	Retirer 	Quitar a 	Rimuovi 	削除: 	삭제:
Block	Bloquer	Bloquear	Blocca	ブロック	차단
Block 	Bloquer 	Bloquear a 	Blocca 	ブロック: 	차단:
wants to be your friend	veut devenir votre ami	quiere ser tu amigo	vuole essere tuo amico	からフレンド申請	님이 친구 요청을 보냈습니다
Accept	Accepter	Aceptar	Accetta	承認	수락
Accept 	Accepter 	Aceptar a 	Accetta 	承認: 	수락:
Decline	Refuser	Rechazar	Rifiuta	拒否	거절
Decline 	Refuser 	Rechazar a 	Rifiuta 	拒否: 	거절:
request sent	demande envoyée	solicitud enviada	richiesta inviata	申請済み	요청 보냄
Withdraw	Annuler	Retirar	Ritira	取り消し	취소
Withdraw 	Annuler 	Retirar a 	Ritira 	取り消し: 	취소:
%d online	%d en ligne	%d en línea	%d online	%d 人オンライン	%d명 온라인
Friends	Amis	Amigos	Amici	フレンド	친구
gamertag	gamertag	gamertag	gamertag	ゲーマータグ	게이머태그
Add friend	Ajouter un ami	Añadir amigo	Aggiungi amico	フレンド追加	친구 추가
Add 	Ajouter 	Añadir a 	Aggiungi 	追加: 	추가:
reading your presence...	lecture de votre présence...	leyendo tu presencia...	lettura della tua presenza...	プレゼンスを確認中...	접속 상태 확인 중...
in a session of %s - friends can be invited	dans une session de %s - les amis peuvent être invités	en una sesión de %s - se puede invitar a amigos	in una sessione di %s - gli amici possono essere invitati	%s のセッション中 - フレンドを招待できます	%s 세션 참가 중 - 친구를 초대할 수 있습니다
not in a game session - Invite needs one	pas dans une session de jeu - Inviter en a besoin	no estás en una sesión de juego - Invitar necesita una	non sei in una sessione di gioco - Invita ne richiede una	ゲームセッションに未参加 - 招待にはセッションが必要です	게임 세션에 참가하지 않음 - 초대하려면 세션이 필요합니다
Requests	Demandes	Solicitudes	Richieste	申請	요청
No friends yet, and no connection to the server.	Pas encore d'amis, et pas de connexion au serveur.	Aún no hay amigos, y no hay conexión con el servidor.	Nessun amico ancora, e nessuna connessione al server.	フレンドはまだいません。サーバーにも接続していません。	아직 친구가 없고, 서버에도 연결되어 있지 않습니다.
No friends yet.	Pas encore d'amis.	Aún no hay amigos.	Nessun amico ancora.	フレンドはまだいません。	아직 친구가 없습니다.
Sent	Envoyées	Enviadas	Inviate	送信済み	보낸 요청
unpacking	extraction	descomprimiendo	estrazione	展開中	압축 해제 중
Cancel	Annuler	Cancelar	Annulla	キャンセル	취소
not installed	non installé	no instalado	non installato	未インストール	설치되지 않음
- latest is %s	- dernière version : %s	- la última es %s	- l'ultima è %s	- 最新は %s	- 최신 버전 %s
installed %s	installé %s	instalado %s	installato %s	%s をインストール済み	%s 설치됨
- %s is available	- %s est disponible	- %s está disponible	- %s è disponibile	- %s が利用可能	- %s 사용 가능
- up to date	- à jour	- actualizado	- aggiornato	- 最新です	- 최신 상태
your game data is installed	vos données de jeu sont installées	tus datos del juego están instalados	i dati del gioco sono installati	ゲームデータはインストール済みです	게임 데이터가 설치되어 있습니다
package found	package trouvé	paquete encontrado	pacchetto trovato	パッケージを検出	패키지 발견
your package is in place; the first Play unpacks it	votre package est en place ; le premier Jouer l'extrait	tu paquete está en su sitio; el primer Jugar lo descomprime	il pacchetto è al suo posto; il primo Gioca lo estrae	パッケージは配置済みです。最初の「プレイ」で展開されます	패키지가 준비되었습니다. 처음 플레이할 때 압축이 풀립니다
put your XBLA package (title %s) in:	placez votre package XBLA (titre %s) dans :	pon tu paquete XBLA (título %s) en:	metti il tuo pacchetto XBLA (titolo %s) in:	XBLA パッケージ（タイトル %s）をここに置いてください：	XBLA 패키지(타이틀 %s)를 여기에 넣으세요:
or drop it onto the game's own window after pressing Play	ou déposez-le sur la fenêtre du jeu après avoir appuyé sur Jouer	o suéltalo en la ventana del juego después de pulsar Jugar	o trascinalo sulla finestra del gioco dopo aver premuto Gioca	または「プレイ」の後にゲームのウィンドウへドロップしてください	또는 플레이를 누른 뒤 게임 창에 끌어다 놓으세요
Install	Installer	Instalar	Installa	インストール	설치
running (pid %lld)	en cours (pid %lld)	en ejecución (pid %lld)	in esecuzione (pid %lld)	実行中（pid %lld）	실행 중 (pid %lld)
Play	Jouer	Jugar	Gioca	プレイ	플레이
Could not launch: 	Impossible de lancer : 	No se pudo iniciar: 	Impossibile avviare: 	起動できません: 	실행할 수 없습니다:
Update to 	Mettre à jour vers 	Actualizar a 	Aggiorna a 	更新: 	업데이트:
Reinstall	Réinstaller	Reinstalar	Reinstalla	再インストール	재설치
Folder	Dossier	Carpeta	Cartella	フォルダー	폴더
Release notes	Notes de version	Notas de la versión	Note di rilascio	リリースノート	릴리스 노트
XenonLive Launcher %s is available	XenonLive Launcher %s est disponible	XenonLive Launcher %s está disponible	XenonLive Launcher %s è disponibile	XenonLive Launcher %s が利用可能です	XenonLive Launcher %s 사용 가능
you have %s	vous avez %s	tienes %s	hai %s	現在は %s	현재 %s
The launcher restarts by itself when this is done.	Le lanceur redémarre tout seul une fois terminé.	El lanzador se reinicia solo cuando termine.	Il launcher si riavvia da solo al termine.	完了するとランチャーは自動的に再起動します。	완료되면 런처가 자동으로 다시 시작됩니다.
Downloaded beside this one and checked against the release's SHA256SUMS, then the launcher restarts as the new version.	Téléchargé à côté de celui-ci et vérifié avec le SHA256SUMS de la version, puis le lanceur redémarre dans la nouvelle version.	Se descarga junto a este, se comprueba con el SHA256SUMS de la versión y el lanzador se reinicia con la nueva versión.	Scaricato accanto a questo e verificato con lo SHA256SUMS della versione, poi il launcher si riavvia nella nuova versione.	隣にダウンロードしてリリースの SHA256SUMS で検証し、新しいバージョンでランチャーを再起動します。	현재 위치 옆에 내려받아 릴리스의 SHA256SUMS로 검증한 뒤, 새 버전으로 런처를 다시 시작합니다.
Update and restart	Mettre à jour et redémarrer	Actualizar y reiniciar	Aggiorna e riavvia	更新して再起動	업데이트 후 다시 시작
  %u G	  %u G	  %u G	  %u G	  %u G	  %u G
live updates on	mises à jour en direct activées	actualizaciones en vivo activadas	aggiornamenti in tempo reale attivi	リアルタイム更新: オン	실시간 업데이트 켜짐
live updates off	mises à jour en direct désactivées	actualizaciones en vivo desactivadas	aggiornamenti in tempo reale disattivi	リアルタイム更新: オフ	실시간 업데이트 꺼짐
Account	Compte	Cuenta	Account	アカウント	계정
Switch account	Changer de compte	Cambiar de cuenta	Cambia account	アカウント切替	계정 전환
  (needs password)	  (mot de passe requis)	  (necesita contraseña)	  (serve la password)	  （パスワードが必要）	  (비밀번호 필요)
Add another account...	Ajouter un autre compte...	Añadir otra cuenta...	Aggiungi un altro account...	別のアカウントを追加...	다른 계정 추가...
Games	Jeux	Juegos	Giochi	ゲーム	게임
Releases come from GitHub as %s builds (this launcher's own kind), checked against the release's SHA256SUMS. You supply your own copy of each game.	Les versions viennent de GitHub sous forme de builds %s (le même type que ce lanceur), vérifiées avec le SHA256SUMS de la version. Vous fournissez votre propre copie de chaque jeu.	Las versiones vienen de GitHub como builds %s (el mismo tipo que este lanzador), comprobadas con el SHA256SUMS de la versión. Tú aportas tu propia copia de cada juego.	Le versioni arrivano da GitHub come build %s (lo stesso tipo di questo launcher), verificate con lo SHA256SUMS della versione. La copia di ogni gioco la fornisci tu.	リリースは GitHub から %s 形式（このランチャーと同じ形式）で取得し、リリースの SHA256SUMS で検証します。各ゲームのデータはご自身で用意してください。	릴리스는 GitHub에서 %s 빌드(이 런처와 같은 형식)로 받아 릴리스의 SHA256SUMS로 검증합니다. 각 게임의 데이터는 직접 준비해야 합니다.
checking for new releases...	recherche de nouvelles versions...	buscando nuevas versiones...	ricerca di nuove versioni...	新しいリリースを確認中...	새 릴리스 확인 중...
could not check for releases: %s	impossible de vérifier les versions : %s	no se pudieron comprobar las versiones: %s	impossibile controllare le versioni: %s	リリースを確認できません: %s	릴리스를 확인할 수 없습니다: %s
- tried again every 5 minutes	- nouvel essai toutes les 5 minutes	- se reintenta cada 5 minutos	- si riprova ogni 5 minuti	- 5分ごとに再試行します	- 5분마다 다시 시도합니다
releases checked just now - again in 5 minutes	versions vérifiées à l'instant - à nouveau dans 5 minutes	versiones comprobadas ahora mismo - de nuevo en 5 minutos	versioni controllate adesso - di nuovo tra 5 minuti	リリースを確認しました - 5分後に再確認	방금 릴리스 확인함 - 5분 후 다시 확인
releases checked %d min ago - again every 5 minutes	versions vérifiées il y a %d min - à nouveau toutes les 5 minutes	versiones comprobadas hace %d min - de nuevo cada 5 minutos	versioni controllate %d min fa - di nuovo ogni 5 minuti	%d 分前にリリースを確認 - 5分ごとに再確認	%d분 전 릴리스 확인 - 5분마다 다시 확인
installed under %s	installé sous %s	instalado en %s	installato in %s	インストール先: %s	설치 위치: %s
Builds from launcher.json	Builds de launcher.json	Builds de launcher.json	Build da launcher.json	launcher.json のビルド	launcher.json의 빌드
Invitations	Invitations	Invitaciones	Inviti	招待	초대
nothing waiting	rien en attente	nada pendiente	niente in attesa	待機中のものはありません	대기 중인 항목 없음
When a friend invites you into their game it lands here, and as a notification. Accept starts the game if it is not running.	Quand un ami vous invite dans sa partie, l'invitation arrive ici, et sous forme de notification. Accepter lance le jeu s'il n'est pas déjà ouvert.	Cuando un amigo te invita a su partida, aparece aquí y como notificación. Aceptar inicia el juego si no está abierto.	Quando un amico ti invita nella sua partita, l'invito arriva qui e come notifica. Accetta avvia il gioco se non è aperto.	フレンドからゲームに招待されると、ここと通知に届きます。「承認」で、ゲームが起動していなければ起動します。	친구가 게임에 초대하면 여기와 알림에 표시됩니다. 수락하면 게임이 실행 중이 아닐 때 게임을 시작합니다.
invited you to %s	vous a invité à %s	te ha invitado a %s	ti ha invitato a %s	から %s に招待	님이 %s에 초대했습니다
accepting tells the running game; it joins from there	accepter prévient le jeu en cours ; il rejoint à partir de là	al aceptar se avisa al juego abierto; se une desde ahí	accettando si avvisa il gioco aperto; entra da lì	承認すると起動中のゲームに伝わり、そこから参加します	수락하면 실행 중인 게임에 전달되어 거기서 참가합니다
not configured here: accepting will not launch anything	non configuré ici : accepter ne lancera rien	no está configurado aquí: aceptar no iniciará nada	non configurato qui: accettando non si avvia nulla	ここでは設定されていません。承認しても何も起動しません	여기에는 설정되어 있지 않습니다. 수락해도 아무것도 실행되지 않습니다
accepting launches %s	accepter lance %s	al aceptar se inicia %s	accettando si avvia %s	承認すると %s が起動します	수락하면 %s이(가) 실행됩니다
This capture is broken	Cette capture est corrompue	Esta captura está dañada	Questa cattura è danneggiata	このキャプチャは壊れています	이 캡처는 손상되었습니다
It cannot be sent. Delete it, or capture again in the game.	Elle ne peut pas être envoyée. Supprimez-la, ou refaites une capture dans le jeu.	No se puede enviar. Bórrala o vuelve a capturar en el juego.	Non può essere inviata. Eliminala, o cattura di nuovo nel gioco.	送信できません。削除するか、ゲーム内でもう一度キャプチャしてください。	보낼 수 없습니다. 삭제하거나 게임에서 다시 캡처하세요.
Delete it	Supprimer	Borrarla	Eliminala	削除	삭제
%s%scaptured %s%s%s	%s%scapturé le %s%s%s	%s%scapturado el %s%s%s	%s%scatturato il %s%s%s	%s%s%s にキャプチャ%s%s	%s%s%s 캡처%s%s
 with 	 avec 	 con 	 con 	（	 (
What will be sent with your words	Ce qui sera envoyé avec vos mots	Lo que se enviará con tus palabras	Cosa verrà inviato con le tue parole	あなたの説明と一緒に送られるもの	설명과 함께 전송되는 항목
%s - missing	%s - manquant	%s - falta	%s - mancante	%s - 見つかりません	%s - 없음
your machine: %s	votre machine : %s	tu equipo: %s	il tuo computer: %s	お使いの環境: %s	내 컴퓨터: %s
Only the developer sees the files and your machine. Everyone can read the title, what happened and how to reproduce, so the next person with the same bug finds yours.	Seul le développeur voit les fichiers et votre machine. Tout le monde peut lire le titre, ce qui s'est passé et comment le reproduire, pour que la prochaine personne avec le même bug trouve le vôtre.	Solo el desarrollador ve los archivos y tu equipo. Todos pueden leer el título, qué pasó y cómo reproducirlo, para que la siguiente persona con el mismo error encuentre el tuyo.	Solo lo sviluppatore vede i file e il tuo computer. Tutti possono leggere il titolo, cosa è successo e come riprodurlo, così la prossima persona con lo stesso bug trova il tuo.	ファイルと環境情報を見られるのは開発者だけです。タイトル・何が起きたか・再現手順は誰でも読めるので、同じバグに遭った人があなたの報告を見つけられます。	파일과 컴퓨터 정보는 개발자만 볼 수 있습니다. 제목, 발생 내용, 재현 방법은 누구나 읽을 수 있어 같은 버그를 겪는 사람이 찾을 수 있습니다.
Title	Titre	Título	Titolo	タイトル	제목
one line: what is wrong	une ligne : ce qui ne va pas	una línea: qué falla	una riga: cosa non va	一行で：何が問題か	한 줄로: 무엇이 문제인지
What happened	Ce qui s'est passé	Qué pasó	Cosa è successo	何が起きたか	무슨 일이 있었나요
How to make it happen again	Comment le reproduire	Cómo reproducirlo	Come riprodurlo	再現手順	재현 방법
if you know	si vous savez	si lo sabes	se lo sai	わかれば	알고 있다면
Send to the developer	Envoyer au développeur	Enviar al desarrollador	Invia allo sviluppatore	開発者に送信	개발자에게 보내기
Delete, it was nothing	Supprimer, ce n'était rien	Borrar, no era nada	Elimina, non era niente	削除（何でもなかった）	삭제 (문제 아님)
Sending...	Envoi...	Enviando...	Invio...	送信中...	보내는 중...
Reported by	Signalé par	Reportado por	Segnalato da	報告者	보고자
Loading...	Chargement...	Cargando...	Caricamento...	読み込み中...	불러오는 중...
captured %s	capturé le %s	capturado el %s	catturato il %s	%s にキャプチャ	%s 캡처
Capture	Capture	Captura	Cattura	キャプチャ	캡처
%s (%s) - not fetched	%s (%s) - non récupéré	%s (%s) - no descargado	%s (%s) - non scaricato	%s (%s) - 未取得	%s (%s) - 받지 않음
no files	aucun fichier	sin archivos	nessun file	ファイルなし	파일 없음
Fetch again (%s)	Récupérer à nouveau (%s)	Descargar de nuevo (%s)	Scarica di nuovo (%s)	再取得 (%s)	다시 받기 (%s)
Fetch the capture (%s)	Récupérer la capture (%s)	Descargar la captura (%s)	Scarica la cattura (%s)	キャプチャを取得 (%s)	캡처 받기 (%s)
Fetching, %zu to go...	Récupération, %zu restants...	Descargando, faltan %zu...	Scaricamento, ne mancano %zu...	取得中、残り %zu...	받는 중, %zu개 남음...
Open folder	Ouvrir le dossier	Abrir carpeta	Apri cartella	フォルダーを開く	폴더 열기
State	État	Estado	Stato	状態	상태
Delete this report	Supprimer ce rapport	Borrar este informe	Elimina questa segnalazione	この報告を削除	이 보고서 삭제
reported %s%s	signalé le %s%s	reportado el %s%s	segnalato il %s%s	%s に報告%s	%s 보고됨%s
 by you	 par vous	 por ti	 da te	（あなた）	 (나)
not given	non indiqué	no indicado	non indicato	未記入	입력되지 않음
Delete my report	Supprimer mon rapport	Borrar mi informe	Elimina la mia segnalazione	自分の報告を削除	내 보고서 삭제
Issues	Problèmes	Problemas	Problemi	問題	문제
bug reports	rapports de bugs	informes de errores	segnalazioni di bug	バグ報告	버그 보고
Rescan	Rescanner	Volver a buscar	Ricerca	再スキャン	다시 검색
Your captures	Vos captures	Tus capturas	Le tue catture	あなたのキャプチャ	내 캡처
none	aucune	ninguna	nessuna	なし	없음
Press the capture key in the game when something goes wrong. It shows up here for you to describe and send, or delete.	Appuyez sur la touche de capture dans le jeu quand quelque chose ne va pas. Elle apparaît ici pour que vous la décriviez et l'envoyiez, ou la supprimiez.	Pulsa la tecla de captura en el juego cuando algo falle. Aparecerá aquí para que la describas y la envíes, o la borres.	Premi il tasto di cattura nel gioco quando qualcosa non va. Comparirà qui perché tu la descriva e la invii, o la elimini.	ゲーム内で問題が起きたらキャプチャキーを押してください。ここに表示され、説明を付けて送信するか削除できます。	게임에서 문제가 생기면 캡처 키를 누르세요. 여기에 표시되며 설명을 적어 보내거나 삭제할 수 있습니다.
  (broken)	  (corrompue)	  (dañada)	  (danneggiata)	  （破損）	  (손상됨)
Reported	Signalés	Reportados	Segnalati	報告済み	보고됨
Every report, newest first. Words search instead.	Tous les rapports, du plus récent au plus ancien. Les mots lancent une recherche.	Todos los informes, los más recientes primero. Las palabras buscan.	Tutte le segnalazioni, dalla più recente. Le parole cercano.	すべての報告（新しい順）。語句を入れると検索します。	모든 보고서, 최신순. 단어를 입력하면 검색합니다.
Search before you send: yours may be known.	Cherchez avant d'envoyer : le vôtre est peut-être déjà connu.	Busca antes de enviar: puede que el tuyo ya se conozca.	Cerca prima di inviare: il tuo potrebbe già essere noto.	送る前に検索を。同じ問題が既に報告されているかもしれません。	보내기 전에 검색하세요. 이미 알려진 문제일 수 있습니다.
All games	Tous les jeux	Todos los juegos	Tutti i giochi	すべてのゲーム	모든 게임
words to look for	mots à chercher	palabras a buscar	parole da cercare	検索する語句	검색어
Searching...	Recherche...	Buscando...	Ricerca...	検索中...	검색 중...
nothing reported yet	rien de signalé pour l'instant	aún no hay informes	nessuna segnalazione ancora	まだ報告はありません	아직 보고된 문제가 없습니다
nothing matches	aucun résultat	nada coincide	nessun risultato	一致するものはありません	일치하는 항목 없음
   yours	   à vous	   tuyo	   tuo	   あなた	   내 것
Bug reports	Rapports de bugs	Informes de errores	Segnalazioni di bug	バグ報告	버그 보고
When something goes wrong in a game, press its capture key: it saves a screenshot, the log from the last minute and what your machine is, and the capture appears on the left. Pick it, say what happened and how to make it happen again, and send it - or delete it if it was nothing.	Quand quelque chose ne va pas dans un jeu, appuyez sur sa touche de capture : elle enregistre une capture d'écran, le journal de la dernière minute et la description de votre machine, et la capture apparaît à gauche. Sélectionnez-la, dites ce qui s'est passé et comment le reproduire, puis envoyez-la - ou supprimez-la si ce n'était rien.	Cuando algo falla en un juego, pulsa su tecla de captura: guarda una captura de pantalla, el registro del último minuto y los datos de tu equipo, y la captura aparece a la izquierda. Selecciónala, cuenta qué pasó y cómo reproducirlo, y envíala - o bórrala si no era nada.	Quando qualcosa non va in un gioco, premi il suo tasto di cattura: salva uno screenshot, il log dell'ultimo minuto e i dati del tuo computer, e la cattura compare a sinistra. Selezionala, racconta cosa è successo e come riprodurlo, e inviala - o eliminala se non era niente.	ゲームで問題が起きたら、そのゲームのキャプチャキーを押してください。スクリーンショット、直前1分間のログ、環境情報が保存され、左側に表示されます。選択して、何が起きたか・再現手順を書いて送信してください。何でもなければ削除できます。	게임에서 문제가 생기면 캡처 키를 누르세요. 스크린샷, 마지막 1분의 로그, 컴퓨터 정보가 저장되고 왼쪽에 표시됩니다. 선택해서 무슨 일이 있었는지와 재현 방법을 적어 보내거나, 별일 아니면 삭제하세요.
Everyone can read the words of every report and search them. Only the developer sees the screenshot, the log and your machine.	Tout le monde peut lire les mots de chaque rapport et les chercher. Seul le développeur voit la capture d'écran, le journal et votre machine.	Todos pueden leer las palabras de cada informe y buscarlas. Solo el desarrollador ve la captura de pantalla, el registro y tu equipo.	Tutti possono leggere le parole di ogni segnalazione e cercarle. Solo lo sviluppatore vede lo screenshot, il log e il tuo computer.	報告の文章は誰でも読めて検索できます。スクリーンショット、ログ、環境情報を見られるのは開発者だけです。	보고서의 글은 누구나 읽고 검색할 수 있습니다. 스크린샷, 로그, 컴퓨터 정보는 개발자만 볼 수 있습니다.
You: 	Vous : 	Tú: 	Tu: 	あなた: 	나:
Messages	Messages	Mensajes	Messaggi	メッセージ	메시지
Add a friend on the Friends tab; messages go between friends.	Ajoutez un ami dans l'onglet Amis ; les messages s'échangent entre amis.	Añade un amigo en la pestaña Amigos; los mensajes son entre amigos.	Aggiungi un amico nella scheda Amici; i messaggi vanno tra amici.	フレンドタブでフレンドを追加してください。メッセージはフレンド同士で送れます。	친구 탭에서 친구를 추가하세요. 메시지는 친구끼리 주고받습니다.
Pick someone to read your messages with them. A message is up to 256 characters; the last 20 between you are kept.	Choisissez quelqu'un pour lire vos messages avec lui. Un message fait jusqu'à 256 caractères ; les 20 derniers entre vous sont conservés.	Elige a alguien para leer tus mensajes con esa persona. Un mensaje tiene hasta 256 caracteres; se guardan los últimos 20 entre vosotros.	Scegli qualcuno per leggere i messaggi con lui. Un messaggio arriva a 256 caratteri; gli ultimi 20 tra voi vengono conservati.	相手を選ぶとメッセージを読めます。1通は最大256文字、直近20通が保存されます。	상대를 선택하면 메시지를 읽을 수 있습니다. 메시지는 최대 256자이며 최근 20개가 보관됩니다.
